,week,hours_assignmt,hours_mkrsp,challenging,engagement,frustrated,actual_movement,actual_time,headAngle,eL_angle,eR_angle,sL_angle,sR_angle,eL_movement,hL_movement,hR_movement,head_movement,sL_movement,sr_movement,eL_mvt,eR_mvt,hL_mvt,hR_mvt,head_mvt,sL_mvt,sR_mvt,handL_to_elbowR,handR_to_elbowL,handL_to_shoulderR,handR_to_shoulderL,head_to_elbwL,head_to_elbwR,head_to_handL,head_to_handR,head_to_joints,head_to_shldL,head_to_shldR,isTalking,lean_FB,lean_LR,leftHandRaised,rightHandRaised
0,2,6,,3,,3,2359.823039,910,20.85279343,61.10315256,42.10809925,42.10809925,42.08233631,354.4799002,349.4895055,343.4203064,365.9657769,361.670485,356.5656541,1445.143548,1382.958236,1523.017061,1511.043922,1285.950453,1354.040711,1294.233352,21.72521398,23.78144096,20.79258267,25.39034384,16.60336795,20.50419772,21.22770487,25.50052777,106.2249733,10.44779591,11.9413791,2.534773706,10.02776789,-23.99181057,14.14954459,13.6941326
1,2,15,,4,,4,2361.867259,870,-14.51358554,61.49569466,41.4502141,41.4502141,37.86390711,403.1254063,399.6347465,398.1325018,416.2260834,408.1287903,407.7767955,905.3595014,864.2131788,1025.484356,997.4256243,824.7130695,849.6963325,810.7492913,20.88560511,19.69495197,20.78245306,18.2678808,16.98863401,16.95006842,22.09995464,20.6328704,97.63450723,9.824357443,11.13862232,2.823435843,-9.399484978,9.709888775,24.50954401,16.043655
2,2,12,,4,,5,2080.917073,400,46.03819927,57.75884416,35.12970168,35.12970168,42.88908633,423.3246556,417.6510202,402.6704957,426.8079693,428.5093793,415.1457121,1265.293976,1119.81696,1339.584715,1199.477282,1127.803408,1178.768083,1088.572854,18.60153013,26.74544889,15.19321617,29.35107515,10.94303208,20.37158542,15.55886183,26.33735897,95.39529764,9.225314003,12.95914533,7.872601833,8.675911218,-12.60731587,13.56204518,11.8136282
3,2,8,,3,,3,2152.638787,370,-1.831785329,62.19154922,43.09196501,43.09196501,40.90209802,344.4715493,342.746054,352.3769752,367.0740452,352.9897517,365.014335,240.6309976,234.0664805,262.571286,306.1699456,209.8302606,232.4077891,211.6238927,20.03999733,21.09026194,23.63731188,21.31830851,22.6741049,14.8729512,24.71476804,22.62483202,104.792233,14.36250353,5.543073311,0.87427144,-2.584602367,-16.40477429,10.76880377,14.62669997
4,2,12,,4,,3,2370.65032,670,14.74436775,61.05051913,40.63506732,40.63506732,43.20962877,338.7767979,335.9315604,345.9923733,358.5627492,346.2212697,354.3266395,558.7100088,556.6608899,639.9296755,635.3715442,503.7133287,527.2578725,519.691152,21.96890995,20.43029729,22.69475184,18.28645533,21.56227404,13.32639582,24.36564253,18.46467679,99.74364278,14.29691556,7.72773804,1.164510166,-0.422214364,13.64461481,21.65742452,24.6025878
5,2,16,,4,,4,2524.12622,350,17.33785767,58.56349507,39.57766507,39.57766507,43.06124272,381.2790208,379.3362725,379.5872459,393.5404369,386.611308,389.104298,382.3185379,297.6264748,389.64409,338.3496628,303.5859375,353.5025524,282.950018,20.86359548,19.78435945,20.20240851,19.76646318,16.60643943,14.88689105,20.7365504,19.89746796,92.51356092,12.0612624,8.324949685,6.123188406,5.44266748,-24.25474037,16.15942029,13.15217391
6,2,10,,3,,3,2688.579732,140,17.85736955,55.51352682,38.58447608,38.58447608,43.2389821,364.7968541,357.4836711,355.0362882,379.7182499,373.0586755,366.6114782,276.5532345,255.8888632,289.6937645,271.8222204,268.5357948,275.1732652,243.5902831,19.65247429,23.40711339,19.66679807,25.28798875,20.27721486,22.97116173,25.92424068,27.73421679,124.318922,13.06938365,14.34270426,1.551724138,9.790563162,-18.12862096,15.86206897,16.43678161
7,2,7,,4,,4,2282.931109,250,-20.09285143,60.07813757,40.6430159,40.6430159,40.648464,347.6961535,342.5645856,345.6786169,362.4808757,354.6790202,354.7737031,242.8444405,210.4140772,261.5230489,233.5346402,226.2388084,239.8494214,213.0537872,18.91777952,19.68865516,18.93956687,21.52728339,16.16097082,17.44821924,21.91440899,22.38629191,97.59436159,9.648540992,10.03592964,1.004664514,25.77460963,7.635964333,12.80947255,18.78363832
8,2,8,,4,,3,2788.972016,400,-16.79623824,60.1299636,40.78242824,40.78242824,37.81464199,352.240336,347.0874258,341.3742954,366.4404743,359.528716,357.0755188,597.1364536,509.5768845,625.5169971,584.644357,512.3261528,554.3719133,481.5517114,19.46026205,25.24110831,18.1986087,27.10613842,17.29361756,21.33723272,21.58205876,27.00394342,110.1695954,11.76343259,11.18931036,1.960784314,8.765553185,-9.488271687,13.21398124,9.782608696
9,2,20,,5,,5,1895.153981,820,-39.28269193,53.85966694,36.33666916,36.33666916,34.79511304,339.2483582,346.2143764,345.6101502,353.4843717,342.4527448,347.8263944,1741.298031,1649.937196,1984.426806,1865.0779,1495.641562,1562.600939,1518.193621,18.88280255,17.61938947,19.69624918,15.61457706,17.82028664,11.98171209,19.21209212,15.43589533,84.77067369,11.9798049,8.340882609,3.743768453,5.748199459,31.16797643,11.52896762,10.14229708
10,2,10,,3,,4,3287.762638,300,9.211283026,63.6367705,45.14227542,45.14227542,43.61622345,382.8184643,378.9559338,379.7751655,399.3730031,390.428124,391.4530393,170.1192408,171.374038,190.762514,200.1559678,160.8061534,157.0360153,154.1349191,19.09017655,20.9962767,18.74843676,21.57273589,18.83270031,18.67429274,23.08836701,23.86452031,106.3539128,11.80454032,10.08949214,1.434878587,16.71963242,-20.65086967,18.48785872,15.06622517
11,2,10,,3,,2,2281.253436,290,-23.87792891,60.9799484,46.42981709,46.42981709,40.75504445,308.683936,307.2785582,307.3162674,318.4315909,311.5383538,310.4373168,703.2019712,661.5339107,681.1266027,683.5589967,628.8114466,690.2855175,632.0686461,16.1904443,17.80055652,16.86917433,17.30330756,16.62995322,14.51129665,18.15400173,18.22327792,90.26663284,11.37964236,11.36846096,1.298357181,-0.362437986,-3.912172437,21.65253489,25.03532945
